Sample_Index,Normalized_Voltage
0,2.949339790633067
1,2.949339790633067
2,2.949339790633067
3,2.949339790633067
4,2.949339790633067
5,2.949339790633067
6,2.949339790633067
7,2.949339790633067
8,2.949339790633067
9,2.949339790633067
10,2.949339790633067
11,2.949339790633067
12,2.949339790633067
13,2.949339790633067
14,2.949339790633067
15,2.949339790633067
16,2.949339790633067
17,2.949339790633067
18,2.949339790633067
19,2.949339790633067
20,2.949339790633067
21,2.9636409504037364
22,2.9780575002683682
23,2.9924740501329996
24,3.0068905999976314
25,3.0213071498622632
26,3.0214513874797184
27,3.0214513874797184
28,3.0214513874797184
29,3.0214513874797184
30,3.0214513874797184
31,3.0214513874797184
32,3.0214513874797184
33,3.0214513874797184
34,3.0214513874797184
35,3.0214513874797184
36,3.0214513874797184
37,3.0214513874797184
38,3.0214513874797184
39,3.0214513874797184
40,3.0214513874797184
41,3.0072656178030144
42,2.9928490679383826
43,2.9784325180737508
44,2.964015968209119
45,2.9495994183444854
46,2.949339790633067
47,2.949339790633067
48,2.949339790633067
49,2.949339790633067
50,2.949339790633067
51,2.949339790633067
52,2.949339790633067
53,2.949339790633067
54,2.949339790633067
55,2.949339790633067
56,2.949339790633067
57,2.949339790633067
58,2.949339790633067
59,2.949339790633067
60,2.949339790633067
61,2.949339790633067
62,2.949339790633067
63,2.949339790633067
64,2.949339790633067
65,2.949339790633067
66,2.949339790633067
67,2.949339790633067
68,2.949339790633067
69,2.949339790633067
70,2.949339790633067
71,2.949339790633067
72,2.949339790633067
73,2.949339790633067
74,2.949339790633067
75,2.949339790633067
76,2.949339790633067
77,2.949339790633067
78,2.949339790633067
79,2.949339790633067
80,2.949339790633067
81,2.949339790633067
82,2.949339790633067
83,2.949339790633067
84,2.949339790633067
85,2.949339790633067
86,2.949339790633067
87,2.949339790633067
88,2.949339790633067
89,2.949339790633067
90,2.949339790633067
91,2.949339790633067
92,2.949339790633067
93,2.949339790633067
94,2.949339790633067
95,2.949339790633067
96,2.9632082375513704
97,2.977624787416002
98,2.9920413372806336
99,3.006457887145267
100,3.020874437009899
101,3.0214513874797184
102,3.0214513874797184
103,3.0214513874797184
104,3.0214513874797184
105,3.0214513874797184
106,3.0214513874797184
107,3.0214513874797184
108,3.0214513874797184
109,3.0214513874797184
110,3.0214513874797184
111,3.0076694831318878
112,2.993252933267256
113,2.978836383402624
114,2.9644198335379923
115,2.950003283673361
116,2.949339790633067
117,2.949339790633067
118,2.949339790633067
119,2.949339790633067
120,2.949339790633067
121,2.949339790633067
122,2.949339790633067
123,2.949339790633067
124,2.949339790633067
125,2.949339790633067
126,2.949339790633067
127,2.949339790633067
128,2.949339790633067
129,2.949339790633067
130,2.949339790633067
131,2.949339790633067
132,2.949339790633067
133,2.949339790633067
134,2.949339790633067
135,2.949339790633067
136,2.949339790633067
137,2.949339790633067
138,2.949339790633067
139,2.949339790633067
140,2.949339790633067
141,2.949339790633067
142,2.949339790633067
143,2.949339790633067
144,2.949339790633067
145,2.949339790633067
146,2.949339790633067
147,2.949339790633067
148,2.949339790633067
149,2.949339790633067
150,2.949339790633067
151,2.949339790633067
152,2.949339790633067
153,2.949339790633067
154,2.949339790633067
155,2.949339790633067
156,2.949339790633067
157,2.949339790633067
158,2.949339790633067
159,2.949339790633067
160,2.949339790633067
161,2.9628332197459875
162,2.9772497696106193
163,2.991666319475251
164,3.0060828693398847
165,3.0204994192045165
166,3.007986805890289
167,2.993570256025657
168,2.979153706161026
169,2.964737156296394
170,2.9503206064317604
171,2.949339790633067
172,2.949339790633067
173,2.949339790633067
174,2.949339790633067
175,2.949339790633067
176,2.949339790633067
177,2.949339790633067
178,2.949339790633067
179,2.949339790633067
180,2.949339790633067
